Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
null	4085.6200964446	4333.8100585938	6049.7600097656	4199.7126580589	2806.3989710127	1979.4058353143	3667.4124885981	3789.1712836575
LOC502304	297.4844204945	175.6500015259	212.4349975586	218.4072327905	186.2902175331	191.6678600246	221.9549077501	217.8421276687
LOC497923	1140.7468615179	272.9499969482	664.9250183105	206.1152126432	1843.5575903225	758.2194344922	875.117979587	845.7368110573
null	130.7543107846	271.375	306.6499938965	540.5965474032	405.5108502942	183.4416368561	479.2546062109	345.4516255874
null	213.6762485557	183.4499969482	536.680015564	279.8789587793	220.6980747585	343.0299276942	309.4352378791	256.5750363168
null	113.5477151744	124.280002594	123.6299991608	109.0604822746	134.5998991584	88.2137886649	118.8634766836	110.5379753505
LOC292543	205.1955976817	90.5149993896	166.4649963379	146.1804147943	171.0639425336	167.1409486289	205.3648951026	185.1609539883
Mmp1a_predicted	224.8890159667	325.7149963379	460.7250061035	168.2782716515	264.5516287155	180.0033921551	282.7612862669	257.2168311766
Lmcd1_predicted	984.030594027	1556.0900268555	364.6100006104	252.8890141562	894.7153621149	1075.2453534429	565.141780077	694.5436836996
Dnmt3a_predicted	5528.3946978825	1319.0599975586	4635.4548339844	1279.4012431032	5735.5885074871	4246.9542491266	6036.9486838715	5747.8135901315
RGD1307965_predicted	6947.4872341276	19598.3603515625	5038.8000488281	14067.8385604945	6159.854790156	6161.1821842401	6469.3646800349	6535.9978338827
Etnk2_predicted	249.0913086393	455.0850143433	213.9049987793	1039.7389844822	331.5425301303	275.1201745223	345.7810531632	284.1358157337
RGD1308128_predicted	2309.9553816888	331.7200012207	556.8900146484	977.2538897277	1494.8413373597	1507.3988191805	1820.8764562648	1726.8294943633
null	564.2967987979	916.200012207	466.745010376	527.6725956047	759.3668507377	707.9247321534	752.4175936579	713.3254308626
Pdcl	1557.0219935801	275.5849914551	225.3900032043	295.5445006887	1027.7606762086	1128.34944643	1335.0429170636	1166.1552979178
Bpi	163.6327812071	96.0950012207	148.2050018311	144.4104874031	204.6664187733	170.2866655924	154.3687921601	151.1190592678
RGD1310651_predicted	1126.1201641934	745.1999664307	729.8999938965	525.2325248094	1391.771457538	1223.4857987421	1461.25379462	1131.350190271
LOC500597	189.2228812702	179.3249969482	184.6349945068	122.2238437296	202.717070664	278.5332105346	320.7576688113	219.7234525864
Nt5m_predicted	530.390994683	186.9900054932	188.3850021362	318.207775692	407.5221502214	550.0033728018	729.222333616	537.630110156
Bckdhb	32862.1473964964	163653.578125	21007.6455078125	68457.0131431973	27676.0497095839	36822.9778503175	33537.8904219272	34039.5200861934
Tep1	3032.5074314038	9998.7700195313	14865.580078125	6810.5529084025	3047.7435167673	4696.7110291884	3188.8668846876	3481.5017845905
null	500.957361769	315.5500030518	408.9000091553	268.2499999506	381.5273825683	513.8532120699	632.374729182	462.8769606733
RGD1309887_predicted	31472.9096039333	15160.1948242188	49240.734375	20985.5202101454	26101.013521587	38258.2711375066	36236.330395012	33779.943893116
null	298.7949673473	1045.9250183106	439.6499938965	465.3000779089	397.4272036522	365.4943037344	308.6948806338	314.9902314333
Apbb1	41259.404394058	5555.8049316406	1666.1200561524	7097.544031116	17260.7324602959	33380.8360473217	35035.0695933182	30115.7886826122
Hpx	2885.6052633869	881.7899780273	1158.5899658203	1135679.83242614	3319.2785327552	1894.6380489134	2626.3488903061	2506.495024655
